movieId,title,genres
1,Toy Story (1995),Animation|Children|Comedy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Heat (1995),Action|Crime|Thriller
4,Sabrina (1995),Comedy|Romance
5,GoldenEye (1995),Action|Adventure|Thriller
6,The Usual Suspects (1995),Crime|Mystery|Thriller
7,Braveheart (1995),Action|Drama|War
8,Apollo 13 (1995),Adventure|Drama
9,Batman Forever (1995),Action|Adventure|Comedy
10,Pocahontas (1995),Animation|Children|Romance
11,Se7en (1995),Mystery|Thriller
12,The Lion King (1994),Animation|Children|Drama
13,Pulp Fiction (1994),Crime|Drama
14,Forrest Gump (1994),Comedy|Drama|Romance
15,The Shawshank Redemption (1994),Drama
